N,LB,TH,K,weight_mode,vol_target,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,calmar_ratio,exposure_pct,total_trades,final_nav
50,30,0.5,5,Inverse_Vol,True,213.84,55.88,-56.83,1.06,0.98,30.7,202,31384.38
50,30,0.65,3,Hysteresis_Rank,False,243.72,61.48,-44.35,1.05,1.39,24.2,87,34372.31
50,30,0.65,5,Equal_Weight,False,202.44,53.66,-54.34,1.05,0.99,24.2,157,30244.14
30,14,0.5,5,Hysteresis_Rank,True,197.95,52.77,-55.14,1.05,0.96,30.8,172,29794.54
50,30,0.65,3,Inverse_Vol,True,245.03,61.72,-59.25,1.04,1.04,24.2,141,34502.82
50,14,0.4,1,Equal_Weight,True,372.04,82.64,-84.51,1.03,0.98,32.6,146,47204.43
50,14,0.4,1,Inverse_Vol,True,372.04,82.64,-84.51,1.03,0.98,32.6,146,47204.43
50,30,0.4,3,Inverse_Vol,False,240.02,60.81,-54.66,1.01,1.11,34.5,204,34002.33
50,30,0.5,3,Inverse_Vol,False,221.68,57.38,-56.56,0.99,1.01,30.7,179,32167.63
50,30,0.65,3,Hysteresis_Rank,True,214.23,55.96,-49.16,0.98,1.14,24.2,87,31422.99
50,30,0.4,5,Inverse_Vol,True,180.8,49.3,-54.09,0.96,0.91,34.5,223,28080.04
50,30,0.65,3,Equal_Weight,False,200.01,53.18,-54.81,0.95,0.97,24.2,141,30001.39
50,30,0.5,5,Equal_Weight,False,173.54,47.78,-55.74,0.95,0.86,30.7,202,27353.7
20,14,0.5,3,Hysteresis_Rank,False,158.55,44.59,-45.47,0.94,0.98,31.8,156,25854.61
30,30,0.65,5,Inverse_Vol,False,148.5,42.38,-44.93,0.93,0.94,26.5,173,24849.55
50,14,0.65,1,Hysteresis_Rank,False,234.99,59.88,-77.3,0.93,0.77,26.6,95,33498.58
50,30,0.4,5,Equal_Weight,False,162.89,45.53,-56.02,0.91,0.81,34.5,223,26289.44
50,30,0.5,3,Inverse_Vol,True,185.68,50.3,-62.44,0.91,0.81,30.7,179,28567.7
50,30,0.65,5,Equal_Weight,True,151.61,43.07,-59.53,0.91,0.72,24.2,157,25161.03
20,14,0.65,5,Inverse_Vol,False,122.6,36.42,-53.24,0.9,0.68,28.2,233,22260.13
20,14,0.5,5,Inverse_Vol,False,123.68,36.68,-48.59,0.89,0.75,31.8,267,22368.07
30,30,0.65,3,Inverse_Vol,False,148.04,42.28,-56.62,0.88,0.75,26.5,133,24804.4
20,14,0.4,1,Hysteresis_Rank,False,180.32,49.2,-70.08,0.87,0.7,35.5,132,28031.68
50,30,0.4,3,Inverse_Vol,True,166.12,46.22,-61.83,0.86,0.75,34.5,204,26611.83
50,30,0.65,3,Equal_Weight,True,157.38,44.33,-60.44,0.86,0.73,24.2,141,25738.02
50,14,0.5,1,Hysteresis_Rank,False,177.12,48.53,-79.47,0.86,0.61,30.1,105,27711.5
20,14,0.5,3,Hysteresis_Rank,True,130.27,38.23,-46.54,0.85,0.82,31.8,156,23027.15
20,14,0.4,1,Hysteresis_Rank,True,154.88,43.79,-74.71,0.83,0.59,35.5,132,25487.78
50,30,0.5,3,Hysteresis_Rank,False,138.74,40.18,-50.13,0.82,0.8,30.7,110,23873.78
30,30,0.65,5,Inverse_Vol,True,112.68,34.03,-50.23,0.81,0.68,26.5,173,21267.58
20,14,0.65,3,Hysteresis_Rank,False,109.92,33.35,-56.39,0.81,0.59,28.2,131,20992.11
50,30,0.5,5,Equal_Weight,True,122.25,36.34,-61.34,0.81,0.59,30.7,202,22224.89
50,30,0.5,3,Equal_Weight,False,131.23,38.45,-58.46,0.8,0.66,30.7,179,23122.97
30,30,0.65,3,Inverse_Vol,True,120.19,35.85,-62.04,0.8,0.58,26.5,133,22018.83
20,14,0.5,3,Inverse_Vol,False,108.42,32.98,-51.98,0.79,0.63,31.8,228,20842.36
30,30,0.65,5,Equal_Weight,False,106.13,32.42,-45.85,0.78,0.71,26.5,173,20613.45
50,30,0.4,3,Equal_Weight,False,125.95,37.22,-59.92,0.78,0.62,34.5,204,22595.22
20,30,0.4,1,Hysteresis_Rank,False,132.13,38.66,-67.05,0.78,0.58,40.8,90,23212.79
20,14,0.65,3,Inverse_Vol,False,102.33,31.46,-57.37,0.78,0.55,28.2,195,20233.31
